wavelength_nm_10grid,importance,is_top70pct
1670.0,0.0044211049221945225,False
1680.0,0.004796647378663262,False
1690.0,0.007115719777735736,True
1700.0,0.006190697654685847,True
1710.0,0.003976337820462743,False
1720.0,0.004842247739193072,False
1730.0,0.00606173327763518,True
1740.0,0.005994752473613385,False
1750.0,0.007203428385747638,True
1760.0,0.008140205683773294,True
1770.0,0.005353333007495713,False
1780.0,0.00746352636116449,True
1790.0,0.007102735449328521,True
1800.0,0.005469412507317863,False
1810.0,0.007234142834029984,True
1820.0,0.006492518304755737,True
1830.0,0.006355226888752301,True
1840.0,0.007132457151037529,True
1850.0,0.003413493403581079,False
1860.0,0.00515277606249235,False
1870.0,0.004977064569952058,False
1880.0,0.004079675670371919,False
1890.0,0.005455992345035688,False
1900.0,0.001996979153536534,False
1910.0,0.0017898309740510942,False
1920.0,0.0032858905862181743,False
1930.0,0.0027304324457540978,False
1940.0,0.00240782978190149,False
1950.0,0.002531600380699684,False
1960.0,0.003583018159511451,False
1970.0,0.0020329389104867934,False
1980.0,0.003499912105857786,False
1990.0,0.004291985007757656,False
2000.0,0.004134186404699118,False
2010.0,0.005543201727971637,False
2020.0,0.003361898928177701,False
2030.0,0.0051683673671411275,False
2040.0,0.004567314531965291,False
2050.0,0.005955374389568005,False
2060.0,0.005948162921705105,False
2070.0,0.0052042604649566995,False
2080.0,0.005133170299222714,False
2090.0,0.005367893291064793,False
2100.0,0.0042937402378734725,False
2110.0,0.0079360261991498,True
2120.0,0.004986398944008726,False
2130.0,0.004922007288252287,False
2140.0,0.005109809218618997,False
2150.0,0.002889941010481829,False
2160.0,0.00600495724109736,False
2170.0,0.007527287197438008,True
2180.0,0.005603572622104875,False
2190.0,0.004391223767202119,False
2200.0,0.00487735734824896,False
2210.0,0.004108105307485785,False
2220.0,0.004793632894214562,False
2230.0,0.004195957787084602,False
2240.0,0.007024922373531223,True
2250.0,0.006358148070376554,True
2260.0,0.004615360402035327,False
2270.0,0.004742693181387634,False
2280.0,0.005615687114601992,False
2290.0,0.0035395734830187013,False
2300.0,0.005068933806677968,False
2310.0,0.005814174497337046,False
2320.0,0.0032683450294014194,False
2330.0,0.004217054643728195,False
2340.0,0.003957801602294735,False
2350.0,0.0037920965764776542,False
2360.0,0.003420685545158371,False
2370.0,0.003868167688143242,False
2380.0,0.0031943717642675842,False
2390.0,0.0038301562200143305,False
2400.0,0.005321633785654407,False
2410.0,0.0029118233593510203,False
2420.0,0.00334748448513064,False
2430.0,0.0034010721672815087,False
2440.0,0.002922290506745654,False
2450.0,0.0022696356837564567,False
2460.0,0.0034391884338983904,False
2470.0,0.0011773632794691367,False
2480.0,0.0020025211978279677,False
2490.0,0.0013220067176407365,False
2500.0,0.0005498394152676277,False
