wl_nm,reflectance_mean
918,0.34462048997783
919,0.34487703829124366
920,0.34513471710667903
921,0.34539330187689654
922,0.34565319704602976
923,0.3459141311438959
924,0.3461755203005821
925,0.3464379155194681
926,0.34670061203812835
927,0.34696372844455164
928,0.3472270737576054
929,0.34749090047650805
930,0.3477548376313655
931,0.3480185214371707
932,0.34828231959062245
933,0.34854611702181826
934,0.34881019508842215
935,0.3490743645685784
936,0.3493388599341699
937,0.3496033696757326
938,0.34986755989893026
939,0.3501318054002428
940,0.3503956429517793
941,0.3506590119104703
942,0.3509213992089343
943,0.3511824239666677
944,0.35144226364645115
945,0.3517009956146334
946,0.3519584214638172
947,0.35221463026082855
948,0.3524696830123474
949,0.3527240306242859
950,0.3529774331896982
951,0.35323030070677564
952,0.35348337328700896
953,0.35373670620522524
954,0.3539907683900073
955,0.3542456978077274
956,0.35450209124718424
957,0.3547596721325138
958,0.35501879767945765
959,0.35527973540308133
960,0.35554224666378564
961,0.3558064355065855
962,0.356072494404987
963,0.35634070633852133
964,0.3566116588984546
965,0.3568836214277696
966,0.3571558347296006
967,0.3574276930188667
968,0.35769910332636456
969,0.3579694500513277
970,0.3582389905692467
971,0.3585078542208575
972,0.35877513723304666
973,0.3590404256698655
974,0.35930351033256525
975,0.3595644114455906
976,0.35982392393766505
977,0.36008224129529226
978,0.3603404464726782
979,0.3605992528282759
980,0.3608591690524287
981,0.3611208870856334
982,0.3613845170504542
983,0.3616504002954328
984,0.3619180857068881
985,0.36218632317491567
986,0.36245565583474365
987,0.362725753468109
988,0.36299628324446176
989,0.3632669333906842
990,0.36353807895133416
991,0.36381048626286366
992,0.3640797659903793
993,0.36434587484625375
994,0.3646087406392894
995,0.3648687073956176
996,0.36512602170614294
997,0.36538108487121845
998,0.3656348430509541
999,0.3658879751636186
1000,0.3661406449826007
1001,0.36639326046087767
1002,0.3666457269925123
1003,0.36689788988511124
1004,0.3671496896169008
1005,0.3674021742785363
1006,0.36765521842349225
1007,0.3679090671181283
1008,0.36816387408695095
1009,0.3684204750907857
1010,0.36867866302729
1011,0.3689377164886854
1012,0.3691942186485381
1013,0.369449947013595
1014,0.36970488795568274
1015,0.36995894153849
1016,0.3702123716179536
1017,0.37046563220821693
1018,0.3707193089364866
1019,0.37097343699682866
1020,0.3712272425990232
1021,0.37148009907713025
1022,0.3717311919792311
1023,0.371980214564575
1024,0.372228031061012
1025,0.37247552453904187
1026,0.3727223870637405
1027,0.37296882832247136
1028,0.3732150615541429
1029,0.3734612911091234
1030,0.3737063261817325
1031,0.37395025094205014
1032,0.3741929041295908
1033,0.3744349580729196
1034,0.37467680904567424
1035,0.3749188372946117
1036,0.37516145231796844
1037,0.3754044324246079
1038,0.375647223822536
1039,0.3758895203856939
1040,0.37613035871035183
1041,0.37636980737804765
1042,0.37660830289809955
1043,0.37684633926920863
1044,0.3770842021424372
1045,0.3773220924288008
1046,0.37755958724163097
1047,0.3777961014706705
1048,0.3780315694768054
1049,0.3782657543454666
1050,0.3784987471022626
1051,0.3787314220673321
1052,0.37896387180581265
1053,0.3791967079810016
1054,0.37943025145532505
1055,0.3796645087532758
1056,0.3798987426024145
1057,0.3801324547166889
1058,0.3803656678734012
1059,0.38059892383920246
1060,0.38083277825348716
1061,0.38106773855832643
1062,0.38130415995441763
1063,0.38154171844762075
1064,0.3817796158069458
1065,0.3820174178970724
1066,0.3822545961290214
1067,0.38249098466862563
1068,0.38272696278597346
1069,0.38296287618939817
1070,0.383199410528839
1071,0.38343669982539835
1072,0.38367436124187015
1073,0.3839115176830574
1074,0.3841478124655834
1075,0.38438328632562674
1076,0.38461813855908966
1077,0.38485316474765985
1078,0.3850890107244729
1079,0.3853258535588026
1080,0.38556353329420134
1081,0.38580137095975553
1082,0.3860389104187684
1083,0.38627564739209486
1084,0.38651152434203523
1085,0.3867470059811319
1086,0.38698293956048513
1087,0.3872203763771057
1088,0.38746002991290046
1089,0.3877022799098784
1090,0.38793469707826533
1091,0.38817503795605707
1092,0.3884201458274682
1093,0.38866751024034724
1094,0.3889169106384975
1095,0.3891687470541866
1096,0.38942309950443604
1097,0.3896793409846328
1098,0.3899360779044433
1099,0.39019195716968896
1100,0.3904456883837488
1101,0.3906966470551163
1102,0.39094451997651675
1103,0.3911893899984509
1104,0.3914313093133791
1105,0.39167025994048177
1106,0.39190616084692886
1107,0.39213845452309326
1108,0.3923663589949248
1109,0.3925888584279682
1110,0.39280500844423405
1111,0.3930331295553664
1112,0.3932607165866065
1113,0.3934890016664489
1114,0.3937192473250239
1115,0.39395200586441875
1116,0.3941869241782804
1117,0.3944232504638197
1118,0.3946605127235735
1119,0.39489838170540487
1120,0.39513682256190413
1121,0.395375973554354
1122,0.39561550104019205
1123,0.3958545771978041
1124,0.39609219120650063
1125,0.39632746529140295
1126,0.3965596668193596
1127,0.39678860245531766
1128,0.3970146853263348
1129,0.3972384090043255
1130,0.39746046420824044
1131,0.3976810326950194
1132,0.3979000654566024
1133,0.3981172500977951
1134,0.3983319881054479
1135,0.3985442411846276
1136,0.39875404580594553
1137,0.3989618305863461
1138,0.39916815866791
1139,0.3993731376905413
1140,0.3995768024903992
1141,0.3997788130635148
1142,0.3999788254726491
1143,0.40017666260267404
1144,0.4003725818202434
1145,0.40056701875864725
1146,0.4007604490755734
1147,0.4009536450116288
1148,0.4011468893784476
1149,0.40134015764163755
1150,0.40153332703435557
1151,0.4017261868346782
1152,0.40191891492700355
1153,0.40211186665527326
1154,0.4023056523116009
1155,0.40250096787467876
1156,0.40269803421749334
1157,0.4028968975937537
1158,0.403097293960187
1159,0.4032988292549031
1160,0.4035012861656273
1161,0.4037046580970679
1162,0.40390922731834444
1163,0.40411520983224747
1164,0.40432288416171097
1165,0.40453205858802127
1166,0.4047424353260362
1167,0.4049535259786479
1168,0.40516470708265606
1169,0.40537572234192437
1170,0.40558650456583334
1171,0.40579735620564666
1172,0.40600852666768716
1173,0.4062199974575501
1174,0.4064315405780499
1175,0.40664266161290946
1176,0.40685288638492983
1177,0.40706196639791836
1178,0.4072698923427476
1179,0.4074770393956652
1180,0.4076837323918975
1181,0.4078902418811446
1182,0.4080965723061563
1183,0.40830245713289476
1184,0.40850768593358655
1185,0.40871188769243144
1186,0.40891503290741094
1187,0.4091171612091773
1188,0.4093185560138207
1189,0.40951949100265134
1190,0.4097199740847841
1191,0.4099199286325441
1192,0.41011897179087164
1193,0.4103168136697145
1194,0.41051334366437237
1195,0.4107086235156527
1196,0.4109030884190745
1197,0.4110971391063176
1198,0.4112911462078539
1199,0.4114851538909783
1200,0.4116788846188158
1201,0.41187213359631997
1202,0.41206461704416075
1203,0.4122564435153398
1204,0.4124477482788562
1205,0.4126387052550076
1206,0.412829562249039
1207,0.41302022452560594
1208,0.4132104957511928
1209,0.41340005246195155
1210,0.4135885126335614
1211,0.41377574185263266
1212,0.4139616916848692
1213,0.41414654999654377
1214,0.4143305918778918
1215,0.41451387690520447
1216,0.41469641586566613
1217,0.41487799252934343
1218,0.41505828973895753
1219,0.4152370203045188
1220,0.4154141035535549
1221,0.4155898558747816
1222,0.4157645705315612
1223,0.41593863922593155
1224,0.416112040384526
1225,0.416284661084837
1226,0.41645639173617927
1227,0.4166270007412492
1228,0.4167965376636625
1229,0.41696520100435747
1230,0.4171332512019597
1231,0.4173011196108026
1232,0.41746884731637035
1233,0.4176364451780736
1234,0.41780380345644885
1235,0.4179707940582572
1236,0.41813747402703993
1237,0.41830396973811995
1238,0.41847054547368573
1239,0.41863756464658713
1240,0.41880541290757867
1241,0.41897413923983207
1242,0.41914344837075884
1243,0.41931316136321506
1244,0.4194828533757829
1245,0.4196523562348681
1246,0.41982171920877476
1247,0.4199911011999888
1248,0.4201606456395498
1249,0.4203301489595135
1250,0.42049942212625363
1251,0.42066818398929395
1252,0.4208359773113117
1253,0.421002750923396
1254,0.4211686243315378
1255,0.4213339697700802
1256,0.4214990162907799
1257,0.4216638869308858
1258,0.4218286485934001
1259,0.42199282325110105
1260,0.4221562467828508
1261,0.42231844410437036
1262,0.42247917372980853
1263,0.42263855063722977
1264,0.4227965339368589
1265,0.42295348644830233
1266,0.42310931618597336
1267,0.4232638810882817
1268,0.42341697347555846
1269,0.4235682403557972
1270,0.42371763513221306
1271,0.42386515312473416
1272,0.42401100395141467
1273,0.42415579991329494
1274,0.4242995117126451
1275,0.4244419232644019
1276,0.4245828644963759
1277,0.4247218190521556
1278,0.42485868903571095
1279,0.42499296644715157
1280,0.42512523232416705
1281,0.4252556452518316
1282,0.4253840994901206
1283,0.4255108212309167
1284,0.4256353896475536
1285,0.4257578404884544
1286,0.4258782833589836
1287,0.4259966998943779
1288,0.42611335681469287
1289,0.4262290462438239
1290,0.42634389831664554
1291,0.4264583119055658
1292,0.4265721729607513
1293,0.4266854248195866
1294,0.42679796763608685
1295,0.42690960326524496
1296,0.427020088612017
1297,0.427129719332516
1298,0.42723906207427376
1299,0.427347827526956
1300,0.42745626025082284
1301,0.42756419309163674
1302,0.427671017134026
1303,0.4277769237929028
1304,0.4278817675701363
1305,0.42798616580187954
1306,0.42809091695329987
1307,0.42819598119653696
1308,0.4283014795360602
1309,0.42840751075774164
1310,0.4285133266304766
1311,0.4286189169792073
1312,0.42872401605039134
1313,0.428828824295413
1314,0.4289332710173337
1315,0.42903717613086234
1316,0.4291405327984652
1317,0.4292432619724713
1318,0.42934446794007375
1319,0.4294439804752191
1320,0.4295417693086575
1321,0.42963777252811947
1322,0.4297321261195005
1323,0.42982543013093993
1324,0.4299178134071406
1325,0.43000940332449883
1326,0.43010031352316014
1327,0.4301901346562405
1328,0.43027848153174875
1329,0.4303654160340686
1330,0.4304511148847421
1331,0.4305358547678254
1332,0.43061992870207305
1333,0.43070329343081615
1334,0.43078570856824405
1335,0.4308672644874688
1336,0.4309476541286831
1337,0.43102653716329603
1338,0.43110425477182474
1339,0.4311815657078463
1340,0.4312615916389665
